WTG ID,X UTM 18N [m],Y UTM 18N [m],Bathymetry [m MSL],Weibull A 150m MSL [m/s],Weibull k 150m MSL,Latitude [°],Longitude [°],Soil Type,Profile,Paleo
USA-NYB-CBI-1,692514.043,4426416.021,-55,10.68716621,2.148778677,39.96599386,-72.74589362,HN-2,B,FALSE
USA-NYB-CBI-2,692503.8329,4427975.988,-56,10.68973827,2.151593685,39.98004034,-72.74555147,HN-2,B,FALSE
USA-NYB-CBI-3,692493.6228,4429535.955,-56,10.68973827,2.151593685,39.99408679,-72.74520904,HN-2,B,FALSE
USA-NYB-CBI-4,692483.4126,4431095.921,-55,10.69359303,2.153366327,40.00813319,-72.74486634,HN-2,B,FALSE
USA-NYB-CBI-5,692473.2025,4432655.888,-55,10.69359303,2.153366327,40.02217957,-72.74452336,HN-2,B,FALSE
USA-NYB-CBI-6,692462.9924,4434215.854,-55,10.69636726,2.155845165,40.03622589,-72.74418011,HN-2,A,TRUE
USA-NYB-CBI-7,692452.7823,4435775.821,-55,10.69459438,2.158817291,40.0502722,-72.74383658,HN-3,A,TRUE
USA-NYB-CBI-8,694723.9956,4426430.486,-56,10.68596745,2.147080898,39.96561817,-72.72003264,HN-2,B,FALSE
USA-NYB-CBI-9,694713.7855,4427990.452,-55,10.69380856,2.150517941,39.97966442,-72.71968519,HN-2,B,FALSE
USA-NYB-CBI-10,694703.5754,4429550.419,-55,10.69380856,2.150517941,39.99371064,-72.71933747,HN-2,B,FALSE
USA-NYB-CBI-11,694693.3653,4431110.386,-56,10.69298363,2.149348021,40.00775682,-72.71898947,HN-2,B,FALSE
USA-NYB-CBI-12,694683.1552,4432670.352,-56,10.69298363,2.149348021,40.02180297,-72.71864119,HN-2,B,FALSE
USA-NYB-CBI-13,694672.9451,4434230.319,-56,10.6930418,2.150882244,40.03584908,-72.71829264,HN-3,A,TRUE
USA-NYB-CBI-14,694662.735,4435790.285,-56,10.6930418,2.150882244,40.04989515,-72.7179438,HN-3,A,TRUE
USA-NYB-CBI-15,696933.9483,4426444.95,-56,10.68688393,2.14712286,39.9652367,-72.69417221,HN-2,B,FALSE
USA-NYB-CBI-16,696923.7382,4428004.917,-56,10.69329834,2.148962259,39.97928273,-72.69381948,HN-2,B,FALSE
USA-NYB-CBI-17,696913.5281,4429564.883,-57,10.69329834,2.148962259,39.99332871,-72.69346647,HN-2,B,FALSE
USA-NYB-CBI-18,696903.318,4431124.85,-57,10.69371319,2.148343563,40.00737467,-72.69311317,HN-2,B,FALSE
USA-NYB-CBI-19,696893.1079,4432684.816,-56,10.69371319,2.148343563,40.02142059,-72.69275959,HN-2,B,FALSE
USA-NYB-CBI-20,696882.8978,4434244.783,-57,10.69637585,2.150902271,40.03546647,-72.69240573,HN-3,B,FALSE
USA-NYB-CBI-21,696872.6877,4435804.75,-58,10.69637585,2.150902271,40.04951232,-72.69205158,HN-3,A,TRUE
USA-NYB-CBI-22,699143.901,4426459.414,-56,10.68923378,2.146001577,39.96484946,-72.66831235,HN-2,B,FALSE
USA-NYB-CBI-23,699133.6909,4428019.381,-55,10.69905663,2.147911072,39.97889526,-72.66795433,HN-2,B,FALSE
USA-NYB-CBI-24,699123.4807,4429579.348,-57,10.69905663,2.147911072,39.99294103,-72.66759603,HN-2,B,FALSE
USA-NYB-CBI-25,699113.2706,4431139.314,-57,10.6969223,2.146117449,40.00698675,-72.66723743,HN-2,B,FALSE
USA-NYB-CBI-26,699103.0605,4432699.281,-58,10.6969223,2.146117449,40.02103244,-72.66687855,HN-3,B,FALSE
USA-NYB-CBI-27,699092.8504,4434259.247,-57,10.6949234,2.145130873,40.03507809,-72.66651939,HN-3,B,FALSE
USA-NYB-CBI-28,699082.6403,4435819.214,-58,10.6949234,2.145130873,40.0491237,-72.66615993,HN-3,B,FALSE
USA-NYB-CBI-29,701353.8536,4426473.879,-56,10.69398785,2.145444632,39.96445646,-72.64245307,HN-2,B,FALSE
USA-NYB-CBI-30,701343.6435,4428033.845,-57,10.69667721,2.14487052,39.97850202,-72.64208976,HN-2,B,FALSE
USA-NYB-CBI-31,701333.4334,4429593.812,-57,10.69667721,2.14487052,39.99254756,-72.64172616,HN-2,B,FALSE
USA-NYB-CBI-32,701323.2233,4431153.778,-58,10.70157337,2.144630432,40.00659305,-72.64136227,HN-3,B,FALSE
USA-NYB-CBI-33,701313.0132,4432713.745,-58,10.70157337,2.144630432,40.0206385,-72.64099809,HN-3,B,FALSE
USA-NYB-CBI-34,701302.8031,4434273.712,-59,10.69618702,2.143129826,40.03468393,-72.64063362,HN-3,B,FALSE
USA-NYB-CBI-35,701292.593,4435833.678,-59,10.69618702,2.143129826,40.04872931,-72.64026886,HN-3,B,FALSE
USA-NYB-CBI-36,690304.0903,4426401.557,-54,10.68678665,2.153100967,39.9663638,-72.77175515,HN-2,B,FALSE
USA-NYB-CBI-37,690293.8802,4427961.524,-54,10.68780518,2.153516054,39.9804105,-72.77141829,HN-2,B,FALSE
USA-NYB-CBI-38,690283.6701,4429521.49,-55,10.68780518,2.153516054,39.99445716,-72.77108116,HN-2,B,FALSE
USA-NYB-CBI-39,690273.46,4431081.457,-55,10.69089031,2.155372381,40.00850379,-72.77074376,HN-2,B,FALSE
USA-NYB-CBI-40,690263.2499,4432641.423,-54,10.69089031,2.155372381,40.02255038,-72.77040608,HN-2,B,FALSE
USA-NYB-CBI-41,690253.0398,4434201.39,-53,10.69460201,2.159379244,40.03659694,-72.77006813,HN-2,B,FALSE
USA-NYB-CBI-42,690242.8297,4435761.357,-54,10.69384384,2.161362648,40.05064346,-72.76972991,HN-3,B,FALSE
USA-NYB-CBI-43,688094.1376,4426387.093,-53,10.68699741,2.153431416,39.96672797,-72.79761723,HN-2,B,FALSE
USA-NYB-CBI-44,688083.9275,4427947.059,-53,10.68689919,2.156560421,39.98077488,-72.79728566,HN-2,B,FALSE
USA-NYB-CBI-45,688073.7174,4429507.026,-53,10.68689919,2.156560421,39.99482177,-72.79695383,HN-2,B,FALSE
USA-NYB-CBI-46,685884.185,4426372.629,-52,10.68529129,2.155317545,39.96708637,-72.82347985,HN-2,B,FALSE
USA-NYB-CBI-47,685873.9749,4427932.595,-53,10.68403053,2.15794754,39.9811335,-72.82315357,HN-2,B,FALSE
USA-NYB-CBI-48,685863.7648,4429492.562,-51,10.68403053,2.15794754,39.9951806,-72.82282703,HN-2,B,FALSE
USA-NYB-CBI-49,683664.0222,4427918.131,-52,10.68362713,2.159665823,39.98148635,-72.84902201,HN-2,A,TRUE
USA-NYB-CBI-50,683653.8121,4429478.097,-51,10.68362713,2.159665823,39.99553366,-72.84870076,HN-2,A,TRUE
USA-NYB-CBI-51,681464.2796,4426343.7,-51,10.68166542,2.164558887,39.96778587,-72.87520667,HN-2,A,TRUE
USA-NYB-CBI-52,692524.2531,4424856.055,-54,10.68716621,2.148778677,39.95194735,-72.74623549,HN-2,B,FALSE
USA-NYB-CBI-53,692534.4632,4423296.088,-54,10.678689,2.146939039,39.9379008,-72.7465771,HN-2,B,FALSE
USA-NYB-CBI-54,692554.8834,4420176.155,-55,10.67950821,2.146281481,39.90980758,-72.74725948,HN-2,B,FALSE
USA-NYB-CBI-55,694734.2057,4424870.519,-55,10.68596745,2.147080898,39.95157187,-72.7203798,HN-2,B,FALSE
USA-NYB-CBI-56,694744.4158,4423310.553,-55,10.68155766,2.146109104,39.93752555,-72.72072668,HN-2,B,FALSE
USA-NYB-CBI-58,694754.6259,4421750.586,-56,10.67826176,2.14670825,39.92347918,-72.72107329,HN-2,B,FALSE
USA-NYB-CBI-59,694764.836,4420190.619,-57,10.67826176,2.14670825,39.90943277,-72.72141962,HN-2,B,FALSE
USA-NYB-CBI-60,696944.1584,4424884.983,-56,10.68688393,2.14712286,39.95119063,-72.69452466,HN-2,B,FALSE
USA-NYB-CBI-61,696954.3685,4423325.017,-56,10.67974377,2.143538713,39.93714453,-72.69487683,HN-2,B,FALSE
USA-NYB-CBI-62,696964.5786,4421765.05,-57,10.68028831,2.147489071,39.92309839,-72.69522871,HN-2,B,FALSE
USA-NYB-CBI-63,696974.7887,4420205.084,-56,10.68028831,2.147489071,39.90905222,-72.69558031,HN-2,B,FALSE
USA-NYB-CBI-64,699154.1111,4424899.448,-56,10.68923378,2.146001577,39.95080363,-72.66867009,HN-2,B,FALSE
USA-NYB-CBI-65,699164.3212,4423339.481,-56,10.6850872,2.144436121,39.93675775,-72.66902754,HN-2,B,FALSE
USA-NYB-CBI-66,699174.5313,4421779.515,-56,10.67962265,2.146832466,39.92271185,-72.6693847,HN-2,B,FALSE
USA-NYB-CBI-67,701364.0637,4424913.912,-56,10.69398785,2.145444632,39.95041086,-72.64281609,HN-2,B,FALSE
USA-NYB-CBI-69,701374.2738,4423353.946,-56,10.68959999,2.144463301,39.93636522,-72.64317882,HN-2,B,FALSE
USA-NYB-CBI-70,701384.4839,4421793.979,-55,10.68539524,2.146004915,39.92231954,-72.64354126,HN-2,B,FALSE
USA-NYB-CBI-71,703574.0164,4424928.376,-57,10.69484329,2.142540932,39.95001232,-72.61696267,HN-2,B,FALSE
USA-NYB-CBI-72,690334.7206,4421721.657,-55,10.68085861,2.14838028,39.92422348,-72.77276411,HN-2,B,FALSE
USA-NYB-CBI-73,690344.9307,4420161.691,-55,10.68085861,2.14838028,39.91017664,-72.77309989,HN-2,B,FALSE
USA-NYB-CBI-74,688104.3477,4424827.126,-53,10.68699741,2.153431416,39.95268101,-72.79794854,HN-2,B,FALSE
USA-NYB-CBI-75,688114.5578,4423267.16,-53,10.68379211,2.152951002,39.93863403,-72.79827957,HN-2,B,FALSE
USA-NYB-CBI-76,688124.7679,4421707.193,-54,10.68499947,2.152475595,39.92458699,-72.79861034,HN-2,B,FALSE
USA-NYB-CBI-77,688134.978,4420147.226,-54,10.68499947,2.152475595,39.91053993,-72.79894084,HN-2,B,FALSE
USA-NYB-CBI-78,685894.3951,4424812.662,-52,10.68529129,2.155317545,39.9530392,-72.82380586,HN-2,A,TRUE
USA-NYB-CBI-79,685904.6052,4423252.695,-53,10.68378353,2.153778315,39.93899199,-72.82413162,HN-2,B,FALSE
USA-NYB-CBI-80,685914.8153,4421692.729,-53,10.6850729,2.154615164,39.92494475,-72.8244571,HN-2,B,FALSE
USA-NYB-CBI-81,683684.4424,4424798.198,-52,10.68761921,2.158344746,39.95339162,-72.84966372,HN-2,A,TRUE
USA-NYB-CBI-82,681474.4897,4424783.733,-51,10.68166542,2.164558887,39.95373827,-72.8755221,HN-2,A,TRUE
